title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Workers Leaving the Lumière Factory,1895-06-10,1.0,0,0,0.693917,6.2,52.0,0
A Night at the Movies: The Horrors of Stephen King,2011-10-03,58.0,0,0,0.679242,7.7,3.0,0
A Night at the Movies: The Suspenseful World of Thrillers,2009-10-02,58.0,0,0,0.042765,9.0,1.0,0
"Bianco, rosso e Verdone",1981-02-20,110.0,0,0,4.178734,7.1,93.0,0
Borotalco,1982-01-22,107.0,0,0,0.015022,6.5,48.0,0
Soap and Water,1983-10-27,109.0,0,0,2.058947,6.7,50.0,0
I due carabinieri,1984-01-01,0.0,0,0,0.169231,5.9,20.0,0
Great!,1986-01-01,110.0,0,0,1.682762,6.2,23.0,0
My Sister and I,1987-12-19,110.0,0,0,0.130579,8.0,2.0,0
Compagni di scuola,1988-12-12,0.0,0,0,1.914778,6.8,39.0,0
The Child and the Policeman,1989-01-01,0.0,0,0,0.568246,5.4,7.0,0
Perdiamoci di vista!,1994-01-01,0.0,0,0,0.414483,6.3,11.0,0
Viaggi di nozze,1995-12-15,103.0,0,0,4.32364,6.9,93.0,0
Iris Blond,1996-01-01,113.0,0,0,1.066085,5.3,22.0,0
Gallo cedrone,1998-10-16,0.0,0,0,1.735198,5.0,24.0,0
A Chinese in a Coma,2000-03-01,108.0,0,0,1.234936,5.7,34.0,0
Love Is Eternal While It Lasts,2004-02-20,108.0,0,0,2.031126,6.0,40.0,0
Ma che colpa abbiamo noi,2003-01-10,0.0,0,0,0.465185,6.1,9.0,0
My best enemy,2006-03-10,110.0,0,0,3.592797,5.8,69.0,0
"Grande, grosso e Verdone",2008-03-07,0.0,0,0,4.309426,5.6,78.0,0
"Me, Them And Lara",2010-01-01,115.0,0,0,2.303734,5.4,42.0,0
Posti in piedi in paradiso,2012-03-02,0.0,10495000,0,3.117252,5.7,44.0,-20990000
